,effective_to_month,effective_to_week,effective_to_day,x0_California,x0_Nevada,x0_Oregon,x0_Washington,x1_Yes,x2_College,x2_Doctor,x2_High School or Below,x2_Master,x3_M,x4_Married,x4_Single,x5_Personal Auto,x5_Special Auto,x6_Corporate L2,x6_Corporate L3,x6_Personal L1,x6_Personal L2,x6_Personal L3,x6_Special L1,x6_Special L2,x6_Special L3,x7_Offer2,x7_Offer3,x7_Offer4,x8_Branch,x8_Call Center,x8_Web,x9_Luxury Car,x9_Luxury SUV,x9_SUV,x9_Sports Car,x9_Two-Door Car,coverage,employmentstatus,location_code,vehicle_size,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0,2,8,24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0.013111971971185243,0.5628469409187746,0.034042553191489355,0.9142857142857143,0.05050505050505051,0.0,0.0,0.40073496995038804
2,2,7,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0,1,0.16648305866003285,0.4877626749082326,0.2,0.5142857142857142,0.38383838383838387,0.0,0.125,0.5899620513979723
3,1,3,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0.08707647845179523,0.0,0.19148936170212766,0.5142857142857142,0.6565656565656566,0.0,0.75,0.551847178251098
4,2,5,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.01387206674959561,0.4384433042278033,0.05106382978723406,0.34285714285714286,0.4444444444444445,0.0,0.0,0.14378074494378007
5,1,4,25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,0.09632421046507877,0.6291395365119373,0.034042553191489355,0.39999999999999997,0.9494949494949496,0.0,0.125,0.1659180367411893
6,2,8,24,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0.05276367000543004,0.5536051849851472,0.025531914893617058,0.0,0.13131313131313133,0.0,1.0,0.3348911494419566
7,1,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,1,0.08056585406958755,0.0,0.17021276595744683,0.0,0.686868686868687,0.0,0.375,0.3780463292339283
8,1,4,26,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,1,0.33676328735761796,0.1407467418809574,0.04255319148936171,0.37142857142857144,0.030303030303030304,0.0,0.125,0.5323877771870378
9,2,7,17,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,1,0.08317272720580485,0.2881747532031086,0.13617021276595748,0.4857142857142857,0.07070707070707072,0.0,0.875,0.4431474613820968
10,2,8,21,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.04303917700962449,0.0,0.025531914893617058,0.6571428571428571,0.05050505050505051,0.0,0.25,0.5023882894282913
11,1,1,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0.09542887063744451,0.0,0.20851063829787236,0.7714285714285714,0.8787878787878789,0.0,0.25,0.5498874783796399
12,2,5,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,1,0.104542741922372,0.7704063772116703,0.20851063829787236,0.2571428571428571,0.8282828282828284,0.4,0.25,0.491586116583726
13,1,2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,1,0.10484909182137953,0.9986397415508947,0.20851063829787236,0.6571428571428571,0.25252525252525254,0.2,0.875,0.5498874783796399
14,1,3,18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,1,0.052817193236091874,0.8370490393174703,0.03829787234042553,0.6,0.10101010101010102,0.4,0.875,0.31982800247852433
15,1,3,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.08430834497809742,0.24603674698192657,0.012765957446808529,0.34285714285714286,0.5050505050505051,0.2,0.125,0.04460472170771017
16,2,5,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,0,1,0.01013282256723945,0.25053760214440746,0.025531914893617058,0.39999999999999997,0.07070707070707072,0.0,0.0,0.4730607672790653
17,1,1,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,0,1,0.031014343160103305,0.28860483491863453,0.17021276595744683,0.34285714285714286,0.595959595959596,0.0,0.0,0.6743041362568734
18,2,8,27,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,1,0.05775440107711884,0.5115771996679369,0.046808510638297884,0.2571428571428571,0.010101010101010102,0.0,0.75,0.32174727387363194
